2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 533 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 532 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 532 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 533 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 536 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 537 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 539 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 538 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 537 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 536 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 536 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 536 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 537 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 538 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 540 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 539 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 539 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 540 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 540 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 539 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 541 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 542 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 542 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 543 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 544 flow
2019-04-09 11:31:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 545 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 549 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 548 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 547 flow
